PRECINCT,HOMICIDE,RAPE,ROBBERY,ASSAULT,VIOLENT_CRIMES_TOTAL,BURGLARY,LARCENY_THEFT,VEHICLE_THEFT,PROPERTY_CRIMES_TOTAL,MAJOR_CRIMES_TOTAL
WEST,1,2,46,51,100,141,772,42,955,1055
WEST,0,0,1,5,6,19,68,5,92,98
WEST,0,0,3,2,5,6,44,5,55,60
WEST,0,0,3,5,8,17,57,2,76,84
WEST,0,1,4,8,13,6,84,3,93,106
WEST,1,0,7,8,16,5,54,5,64,80
WEST,0,0,7,8,15,12,61,0,73,88
WEST,0,0,3,2,5,9,51,4,64,69
WEST,0,0,10,3,13,11,138,2,151,164
WEST,0,1,6,8,15,10,97,4,111,126
WEST,0,0,0,1,1,21,38,3,62,63
WEST,0,0,1,0,1,20,35,5,60,61
WEST,0,0,1,1,2,5,45,4,54,56
